FULL
0, 0
0, 1
1, 1
2, 1
2, 0
3, 0
4, 0
5, 0
6, 0
7, 0
8, 0
9, 0
9, 1
9, 2
10, 2
11, 2
11, 1
11, 0
12, 0
13, 0
14, 0
15, 0
16, 0
17, 0
17, 1
18, 1
18, 0
19, 0
19, 1
20, 1
21, 1
21, 0
22, 0
22, 1
23, 1
23, 2
23, 3
22, 3
21, 3
20, 3
20, 2
21, 2
22, 2
22, 2
21, 2
19, 2
18, 2
17, 2
16, 2
16, 3
16, 4
17, 4
17, 3
18, 3
18, 4
19, 4
19, 3
19, 3
19, 5
18, 5
18, 6
18, 7
17, 7
17, 6
16, 6
15, 6
14, 6
14, 5
14, 4
15, 4
15, 3
15, 2
15, 1
16, 1
16, 1
14, 1
13, 1
13, 2
14, 2
14, 3
13, 3
13, 4
12, 4
11, 4
11, 3
12, 3
12, 2
12, 1
12, 1
12, 2
12, 3
10, 3
10, 4
10, 5
9, 5
8, 5
7, 5
6, 5
6, 4
7, 4
8, 4
9, 4
9, 3
8, 3
7, 3
6, 3
5, 3
5, 2
6, 2
7, 2
7, 1
8, 1
8, 2
8, 2
8, 1
6, 1
5, 1
4, 1
4, 2
4, 3
3, 3
3, 4
3, 5
2, 5
2, 6
2, 7
2, 8
1, 8
1, 7
1, 6
1, 5
1, 4
2, 4
2, 3
1, 3
0, 3
0, 2
1, 2
2, 2
3, 2
3, 1
3, 1
3, 2
2, 2
1, 2
0, 2
0, 4
0, 5
0, 6
0, 7
0, 8
0, 9
1, 9
2, 9
3, 9
4, 9
4, 8
3, 8
3, 7
4, 7
4, 6
3, 6
3, 6
4, 5
5, 5
5, 4
4, 4
4, 4
5, 4
5, 6
6, 6
7, 6
8, 6
8, 7
8, 8
7, 8
6, 8
5, 8
5, 7
6, 7
7, 7
7, 7
6, 7
5, 7
5, 9
6, 9
7, 9
8, 9
9, 9
9, 8
9, 7
9, 6
10, 6
10, 7
11, 7
12, 7
12, 8
13, 8
13, 9
14, 9
14, 8
14, 7
15, 7
15, 8
16, 8
16, 7
16, 7
16, 9
17, 9
17, 8
18, 8
18, 9
19, 9
20, 9
20, 8
20, 7
21, 7
22, 7
22, 8
22, 9
23, 9
24, 9
